Headlines,Time,Description
China forms task force to review design changes to Boeing 737 MAX,Apr 16 2019,China's aviation regulator said on Tuesday that it had set up a task force to review design changes to the Boeing Co 737 MAX that had been submitted by the planemaker after the fleet was grounded last month.
Bayer cuts forecasts on Monsanto delay as lawsuits pile up,Sep 05 2018,"Bayer cut its earnings forecast on Wednesday due to delays to its $63 billion takeover of Monsanto, and said sales of its consumer care products fell, hitting its shares, already reeling from a legal battle over the weed killer Roundup."
Fujitsu to halve office space in three years citing 'new normal',Jul 05 2020,"Japan's Fujitsu Ltd  said on Monday it would halve its office space in three years as it rewrites the way employees work under a ""new normal"" amid the coronavirus pandemic."
Exclusive: Nasdaq cracks down on IPOs of small Chinese companies,Sep 30 2019,"Nasdaq Inc  is cracking down on initial public offerings (IPOs) of small Chinese companies by tightening restrictions and slowing down their approval, according to regulatory filings, corporate executives and investment bankers."
"Shareholder lawsuit attacks Musk's pay, seeks to overhaul Tesla board",Jun 08 2018,"Elon Musk's multi-billion dollar compensation package should be rescinded and the board of Tesla Inc should be overhauled to better protect investors in the electronic car company, according to a law suit filed by a shareholder on Thursday."
U.S. movie theater chains fear Justice Department review may hit profits,Nov 12 2018,"U.S. movie theater chains fear that a Justice Department review of little-known mid-century rules may result in studios getting free rein to force them to show unpopular movies in exchange for getting blockbuster releases, threatening their profits."
"Amazon warehouses receive only vital supplies in U.S., Europe amid coronavirus",Mar 17 2020,"Amazon.com Inc  will only receive vital supplies at its U.S. and UK and other European warehouses until April 5, its latest move to free up inventory space for medical and household goods in high demand as a result of the coronavirus outbreak."
"EU court ruling on Starbucks, Fiat million euro tax orders on September 24",Sep 20 2019,Europe's second-highest court will rule on Sept. 24 whether Starbucks Corp  has to pay up to 30 million euros ($33 million) in Dutch back taxes and Fiat Chrysler Automobiles NV  a similar amount to Luxembourg.
Wall Street tumbles as trade war threatens U.S. economy,Oct 02 2019,Wall Street's main indexes suffered their sharpest one-day declines in nearly six weeks on Wednesday after employment and manufacturing data suggested that the U.S.-China trade war is taking an increasing toll on the U.S. economy.
"Top Trump official calls bankers, will convene 'Plunge Protection Team'",Dec 24 2018,"U.S. President Donald Trump's Treasury secretary called top U.S. bankers on Sunday amid an ongoing rout on Wall Street and made plans to convene a group of officials known as the ""Plunge Protection Team."""
Trump administration announces $16 billion farm aid plan to offset trade war losses,May 23 2019,The Trump administration on Thursday unveiled a $16 billion farm aid package to offset losses from a 10-month trade war with China and said payment rates to farmers would be determined by where they farm rather than what crops they grow.
"Saudi Aramco cuts hundreds of jobs amid oil market downturn, sources say",Jun 18 2020,"State oil giant Saudi Aramco  started laying off hundreds of employees this month, two sources familiar with the matter said, as global energy companies reduce their workforces in response to the coronavirus crisis."
France to absorb 35 billion euros rail operator SNCF debt: Les Echos,May 21 2018,"The French government plans to absorb about 35 billion euros ($41.20 billion) of national railway operator SNCF's  debt burden of around 47 billion euros as part of planned reforms to SNCF, French business daily Les Echos said on Monday."
"U.S. touts EU trade truce, attention now turns to China",Jul 27 2018,The United States signaled on Thursday it is set to push ahead on trade talks with Canada and Mexico after agreeing to suspend hostilities over tariffs with Europe in a fragile deal that may clear the way for renewed pressure on China.
U.S. banks to defend dividend payments in stress tests: FT,Apr 05 2020,"U.S. banks are expected to defend their dividend payments when they submit their annual capital plans to the Federal Reserve on Monday for the upcoming stress tests, the Financial Times reported on Sunday, citing people familiar with the situation."
U.S.-China trade agreement takes little pressure off Fed to cut rates,Jul 01 2019,A ceasefire in the U.S.-China trade war is doing little to relieve pressure on the Federal Reserve to stimulate the economy.
"Cambridge Analytica CEO claims influence on U.S. election, Facebook questioned",Mar 21 2018,"(This March 20 story has been corrected to fix stock losses figure in third paragraph to ""nearly $50 billion"" from ""$60 billion"")"
"The S&P 500 inches higher; Treasury yields dip after Powell remarks, jobs report",Sep 06 2019,"The S&P 500 posted a nominal gain and Treasury yields edged lower on Friday, as remarks from Federal Reserve chief Jerome Powell firmed interest rate cut expectations and China announced an economic stimulus package, both of which helped offset weaker-than-expected U.S. jobs data."
Malaysia PM says U.S. DOJ will help return money Goldman Sachs charged for 1MDB dealings,Nov 13 2018,Malaysia Prime Minister Mahathir Mohamad said on Tuesday U.S. prosecutors had promised to help return money that Goldman Sachs  charged for its dealings with troubled Malaysian state fund 1MDB.
Transport Canada sending team to assist with proposed software changes for 737 MAX,Mar 19 2019,Transport Canada said on Tuesday it would send a team to assist the U.S. Federal Aviation Administration in evaluating proposed design changes to update the software on Boeing's now grounded 737 MAX jet.
Row over undelivered jets as Airbus threatens to sue airlines,Jun 05 2020,A stand-off over undelivered passenger jets is intensifying after Airbus  signalled it would sue airlines refusing  to honour contracts in the face of the coronavirus crisis.
IMF chief defends Powell after Trump slams 'crazy' Fed,Oct 11 2018,"The head of the International Monetary Fund on Thursday defended  Federal Reserve Chairman Jerome Powell one day after U.S. President Donald Trump criticized the American central bank, which has been raising U.S. interest rates, as ""crazy."""
Adidas takes 12-10 lead over Nike in World Cup shirt deals,Jun 02 2018,Adidas  can declare itself the winner over arch rival Nike  in the upcoming soccer World Cup even before the first match kicks off as it is kitting out the most teams.
Nestle's overhaul starts to pay off as growth accelerates,Feb 14 2019,"Nestle put its Herta processed meats business on the block on Thursday, accelerating the food group's revamp as it reported an uptick in sales momentum for the first time in seven years."
Japan's ANA orders passenger jets worth $4.3 billion in Asia push,Jan 29 2019,"Japan's ANA Holdings Inc said on Tuesday it would order at least 38 planes worth $4.33 billion from Boeing Co and Airbus, and buy a stake in Philippines Airlines' parent PAL Holdings Inc to support its Asia growth strategy."
